_id,review,lem_review
65496e562042bfa2da026b54,having lived in the bay area for year i regret not finding out about this place sooner treasure island ha such unique view of the sf skyline from the waterfront to the golden gate bridge all the way around to the bay bridge mersea ha a super laid back vibe with incredible food and drink and the most outrageous view of the sf skyline a full degree water view with floor to ceiling window daniel make an incredible manhattan and the poke wa super fresh meesun wa an amazing hostess and made sure we ordered all the house special truffle fry fish and chip etc etc m we will definitely be back soon more, lived in the bay area for year i regret not finding out about this place sooner treasure island ha such unique view of the   from the waterfront to the golden gate bridge all the way around to the bay bridge  ha a super laid back  with incredible food and drink and the most outrageous view of the   a full degree water view with floor to ceiling window  make an incredible  and the poke wa super fresh  wa an amazing hostess and made sure we ordered all the house special truffle fry fish and chip   m we will definitely be back soon more
65496e562042bfa2da026b55,long time diner first time reviewer ive been coming to mersea for year and it never fails to impress my go to is the fish and chip but i sampled several other dish on my last visit the fish chowder wa the best that i have ever had with large delicious chunk of fish and vegetable that melted in my mouth the cauliflower fish taco carnitas taco and brownie were also fantastic i ate way too much and it wa totally worth the trip i will be back again very soon more,long time diner first time reviewer  been coming to  for year and it never  to impress my go to is the fish and chip but i  several other dish on my last visit the fish chowder wa the best that i have ever had with large delicious chunk of fish and vegetable that melted in my mouth the cauliflower fish    and brownie were also fantastic i ate way too much and it wa totally worth the trip i will be back again very soon more
65496e562042bfa2da026b56,the view the staff the ceviche and the fish chip were the best i ve encountered in year my new favorite place to escape marin and the city and enjoy a moment of island life,the view the staff the  and the fish chip were the best i   in year my new favorite place to escape  and the city and enjoy a moment of island life
65496e562042bfa2da026b57,my brother in law love fish and chip we heard that mersea on treasure island had the best in the area the rumor were accurate the portion wa huge and delightfully crispy on the outside they make it with haddock and moist and juicy on the inside the potato were authentic but we still had to get the truffle fry the fish chowder wa out of this world all in all a great experience that will be repeated more,my brother in law love fish and chip we  that  on treasure island had the best in the area the rumor were accurate the portion wa huge and delightfully crispy on the outside they make it with haddock and moist and juicy on the inside the potato were authentic but we still had to get the truffle fry the fish chowder wa out of this world all in all a great experience that will be repeated more
65496e562042bfa2da026b58,the food is always great i always start with the chowder and the rest of the menu is just delicious all pleasingly so great location usually enjoy an afternoon and walk the island perimeter then back to mersea for another sipping of something hot or cold desert before heading on have been coming here for year since just before landscape by the half moon bay gal started showing up beautiful check it out kid and pet friendly see check please bay area episode how i discovered mersea thanks for being there yours r f napa camore,the food is always great i always start with the chowder and the rest of the menu is just delicious all pleasingly so great location usually enjoy an afternoon and walk the island perimeter then back to  for another  of something hot or cold desert before heading on have been coming here for year since just before landscape by the half moon bay gal  showing up beautiful check it out  and pet friendly see check please bay area episode how i discovered  thanks for being there yours r f napa 
65496e562042bfa2da026b59,i m not sure how this place ha been rated so high fish and chip were flavorless and mushy and potato were bland and cut way too big for my taste husband had poke bowl looked beautiful trying to hard to recreate something that on it own is spectacular and also bland service wa decent nice bar selection need some more shade more,i m not sure how this place ha been rated so high fish and chip were flavorless and mushy and potato were bland and cut way too big for my taste husband had poke bowl  beautiful trying to hard to recreate something that on it own is spectacular and also bland service wa decent nice bar selection need some more shade more
65496e562042bfa2da026b5a,nice people great food and super location we went for a great lunch opposite dt san fransisco highly recommended if you have a car not much to see on treasure island otherwise except the view towards the city but so much worth going for a snack or lunch more,nice people great food and super location we went for a great lunch opposite  san  highly  if you have a car not much to see on treasure island otherwise except the view towards the city but so much worth going for a snack or lunch more
65496e562042bfa2da026b5b,we had a spectacular day at mersea yesterday it turned out to be one of the busiest day of the year on the bay fleet week we had brilliant sunshine sensational cocktail love the margherita with cucumber and jalapeo wa refreshing while watching the blue angel streak through the sky the restaurant is located right opposite the city and golden gate bridge the perfect location for u foreigner australian and german to enjoy the best of sf bay the ceviche wa delicious and enjoyed the fish and chip drink were quick and food a little delayed a it wa such a popular spot that day but it all came out hot and fresh the service so friendly thankful for a perfect day more,we had a spectacular day at  yesterday it turned out to be one of the  day of the year on the bay fleet week we had brilliant sunshine sensational cocktail love the  with cucumber and  wa refreshing while watching the blue angel streak through the sky the restaurant is  right opposite the city and golden gate bridge the perfect location for u foreigner  and german to enjoy the best of  bay the  wa delicious and  the fish and chip drink were quick and food a little  a it wa such a popular spot that day but it all came out hot and fresh the service so friendly thankful for a perfect day more
65496e562042bfa2da026b5c,when we have visitor we take them to mersea when we are meeting friend we haven t seen in awhile we take them to mersea when we need a break from san francisco we take ourselves to mersea we took friend from york england to mersea friday september the food wa a spectacular a the view to say they loved it would be an understatement they said that it wa one of the highlight of their visit meesun one of the owner came by the table to check on u and chat when she learned that our friend were from england she returned with a sample of their fish and chip to see how it stood up to the british version one friend who doesn t care for fish and chip said he wa converted by mersea s we were there for lunch it wa friday and beautiful there wa a live band playing view great food and friend what more can you ask for another reason to come back more,when we have visitor we take them to  when we are meeting friend we haven t seen in awhile we take them to  when we need a break from san  we take ourselves to  we took friend from york  to    the food wa a spectacular a the view to say they  it would be an understatement they said that it wa one of the highlight of their visit  one of the owner came by the table to check on u and chat when she learned that our friend were from  she returned with a sample of their fish and chip to see how it stood up to the  version one friend who  t care for fish and chip said he wa converted by  s we were there for lunch it wa  and beautiful there wa a live band  view great food and friend what more can you ask for another reason to come back more
65496e562042bfa2da026b5d,thank you for not only one of the nicest review but for your support of mersea our staff and a small business we truly appreciate amazing guest like you your kindness is loyalty is how we are able to survive these very trying and challenging more,thank you for not only one of the  review but for your support of  our staff and a small business we truly appreciate amazing guest like you your kindness is loyalty is how we are able to survive these very trying and  more
65496e562042bfa2da026b5e,we chose to eat here based off previous star review and were so glad we did not only wa the location fun with a great view of the city but the staff were so friendly and the food wa incredible the owner chatted to u and made recommendation for her favourite item of the menu bringing u thing to try we had a couple of cocktail played card and watched the sun go down a lovely evening all round more,we chose to eat here based off previous star review and were so glad we did not only wa the location fun with a great view of the city but the staff were so friendly and the food wa incredible the owner  to u and made recommendation for her  item of the menu  u thing to try we had a couple of cocktail  card and watched the sun go down a lovely evening all round more
